124,YONDO,1,2021-05-18 20:38:11,2021-05-18 20:38:11
125,ZARAGOZA,1,2021-05-19 20:38:11,2021-05-19 20:38:11
126,BARRANQUILLA,2,2021-05-20 20:38:11,2021-05-20 20:38:11
127,BARANOA,2,2021-05-21 20:38:11,2021-05-21 20:38:11
128,CAMPO DE LA CRUZ,2,2021-05-22 20:38:11,2021-05-22 20:38:11
129,CANDELARIA,2,2021-05-23 20:38:11,2021-05-23 20:38:11
130,GALAPA,2,2021-05-24 20:38:11,2021-05-24 20:38:11
131,JUAN DE ACOSTA,2,2021-05-25 20:38:11,2021-05-25 20:38:11
132,LURUACO,2,2021-05-26 20:38:11,2021-05-26 20:38:11
133,MALAMBO,2,2021-05-27 20:38:11,2021-05-27 20:38:11
134,MANATI,2,2021-05-28 20:38:11,2021-05-28 20:38:11
135,PALMAR DE VARELA,2,2021-05-29 20:38:11,2021-05-29 20:38:11
136,PIOJO,2,2021-05-30 20:38:11,2021-05-30 20:38:11
137,POLONUEVO,2,2021-05-31 20:38:11,2021-05-31 20:38:11
138,PONEDERA,2,2021-06-01 20:38:11,2021-06-01 20:38:11
139,PUERTO COLOMBIA,2,2021-06-02 20:38:11,2021-06-02 20:38:11
140,REPELON,2,2021-06-03 20:38:11,2021-06-03 20:38:11
141,SABANAGRANDE,2,2021-06-04 20:38:11,2021-06-04 20:38:11
142,SABANALARGA,2,2021-06-05 20:38:11,2021-06-05 20:38:11
143,SANTA LUCIA,2,2021-06-06 20:38:11,2021-06-06 20:38:11
144,SANTO TOMAS,2,2021-06-07 20:38:11,2021-06-07 20:38:11
145,SOLEDAD,2,2021-06-08 20:38:11,2021-06-08 20:38:11
146,SUAN,2,2021-06-09 20:38:11,2021-06-09 20:38:11
147,TUBARA,2,2021-06-10 20:38:11,2021-06-10 20:38:11
148,USIACURI,2,2021-06-11 20:38:11,2021-06-11 20:38:11
149,"BOGOTA, D.C.",3,2021-06-12 20:38:11,2021-06-12 20:38:11
150,CARTAGENA,4,2021-06-13 20:38:11,2021-06-13 20:38:11
151,ACHI,4,2021-06-14 20:38:11,2021-06-14 20:38:11
152,ALTOS DEL ROSARIO,4,2021-06-15 20:38:11,2021-06-15 20:38:11
153,ARENAL,4,2021-06-16 20:38:11,2021-06-16 20:38:11
154,ARJONA,4,2021-06-17 20:38:11,2021-06-17 20:38:11
155,ARROYOHONDO,4,2021-06-18 20:38:11,2021-06-18 20:38:11
156,BARRANCO DE LOBA,4,2021-06-19 20:38:11,2021-06-19 20:38:11
157,CALAMAR,4,2021-06-20 20:38:11,2021-06-20 20:38:11
158,CANTAGALLO,4,2021-06-21 20:38:11,2021-06-21 20:38:11
159,CICUCO,4,2021-06-22 20:38:11,2021-06-22 20:38:11
160,CORDOBA,4,2021-06-23 20:38:11,2021-06-23 20:38:11
161,CLEMENCIA,4,2021-06-24 20:38:11,2021-06-24 20:38:11
162,EL CARMEN DE BOLIVAR,4,2021-06-25 20:38:11,2021-06-25 20:38:11
163,EL GUAMO,4,2021-06-26 20:38:11,2021-06-26 20:38:11
164,EL PEÑON,4,2021-06-27 20:38:11,2021-06-27 20:38:11
165,HATILLO DE LOBA,4,2021-06-28 20:38:11,2021-06-28 20:38:11
166,MAGANGUE,4,2021-06-29 20:38:11,2021-06-29 20:38:11
167,MAHATES,4,2021-06-30 20:38:11,2021-06-30 20:38:11
168,MARGARITA,4,2021-07-01 20:38:11,2021-07-01 20:38:11
